bag,1
headphone jack,-2
fm tuner,1
trim,1
navigate,-3
adapter,1
solid,2
radio record,1
playlists,3
batterylife,2
quality,2
touchpad controls,2
headphone jack design,-3
charges,-2
size,1
wma files,2
treble,3
charged,-2
radio feature,1
feels,2
scrollpad,-1
access,-2
sound quality,3
belt clip,-1
battery,1
manual,1
outlook sync,-2
users guide,-1
audio,2
extra battery,2
touchpad light,2
file transfer,-2
accessories,2
store,2
appeal,3
user interface,3
sync to windows media player,1
media player compatibility,3
hardcase,1
voice record,2
file transfer speed,3
battery charging,2
controls,-3
headphones,-3
dj,2
converter,2
battery life,3
features,3
speakers,2
touch-pad,-3
microphone,2
media source,2
zen,-2
durability,-2
earbuds,2
wav format,-3
windows compatibility,2
weight,3
eq,-3
look,3
customer support,-3
volume,-1
ease of use,3
rechargeable battery,3
play wma,2
support,-3
compatibility,3
music transfer,1
tech support,2
formats,3
color,2
backlight,3
back,2
interface,2
packing,3
file transfer/rip software,2
audible.com book compatibility,-3
speed,2
voice recording,2
recorder,2
warranty price,2
navigating,-3
recorded,3
compatibility with windows media player,3
bass,-2
functioning,2
micro,2
highs,2
transfer speed,-1
button sensitivity,-2
touch controls,-1
explain,-3
software,2
touch buttons,3
plaeyr,1
zen touch,3
navigation,2
price,2
sensitivy,-1
rip,2
set up,-1
response speed,-1
warranty,-1
extra features,2
case,-2
variety of colors,3
made,-3
zen micro,-3
creative,3
napster 2 go compatibility,2
install,-2
tiny,-1
style,1
auto load,-2
labling,3
reliability,-2
functionality,2
capacity,2
portability,2
pc  software,-2
plug in,2
car adapter,2
feature,-2
ease ofuse,2
creative zen,2
outlook compatibility,2
installation,1
audio quality,1
power,2
stand,1
firmware,-3
loading speed,2
music subscription service,2
variety of colours,2
product,-2
headphone design,-3
pouch,1
touch sensitivity,-2
menu,2
music source support,2
comfort,2
off,-3
file transfers,3
itunes,1
instruction,-3
machine,3
organizer,2
organization,2
battery usage,1
srorage,2
small,3
cheaper,2
usb,-2
sound,-3
customer service,-3
feel,3
screen,2
space,2
radio,3
casing,3
looks,2
fm receiver,-1
usage with subscription service,-2
scroll bar,-1
cable,1
recharge cord,-3
additional accesories,1
trnasfer,2
creative zen micro,3
read,2
touch pad,-2
editing titles,1
format,2
napster to go compatibility,-3
fm radio,1
audio formats,2
transfer,2
touch screen,-1
screen review,-1
button functioning,-2
heat,-1
sync with media player,1
subscription drm-encoded,-1
configuration,-1
background light,3
battery replacement,2
storage,3
touchpad,-3
design,-3
working,-3
construction,3
beltclip design,-2
prices,-3
make,-3
player,1
fm reception,-2
on,-3
subscription wma,-1
cost,1
buttons,-3
constructed,3
built,3
lock feature,1
extra accessories,2
charging,-1
ease of usage,2
volume control,-1
work with wmp,-2
build,3
download speed,-3
ear phone jack,-3
