stupid,4
antivirus,1
bad,9
accurate,2
numerous,3
awful,3
mini-disc,1
#these,1
4gb,2
built-in,2
poor,2
above,1
neat,2
near,2
itune,2
inadequate,1
seamless,4
solid,7
upgrade,1
excellent,5
old,3
past,2
#simple,1
neutral,1
frozen,1
WMA,1
wonderful,1
portable,6
+,2
HOT,1
easy,24
-,1
plastic,2
slow,2
two-year,1
highest,1
angled,1
much,4
humble,1
average,1
sophisticated,2
strong,2
yellow,1
mid,2
touchpade,1
cute,3
long,6
extended,2
#pressed,1
offline,1
current,1
lock-up,1
same,10
sleek,5
audio,9
free,6
flip,2
popular,1
removeable,1
spare,4
latest,5
flimsy,2
necessary,4
hardrive,1
lime-green,2
black,8
operational,1
i,4
convienence,1
right,5
many,11
non-intuitive,1
headphone,11
single,3
straight,2
awesome,4
fast,5
blue,8
shure,1
complicated,1
maximum,1
shallow,2
sweet,1
essential,1
standard,3
couple,1
remarkably,1
#I,2
buy,1
sighted,1
good,32
amazing,4
later,2
white,6
outdated,1
touch-pad,2
huge,3
add,2
actual,2
playforsure,1
attractive,1
sonic,2
detachable,1
deck-of-cards,1
uncomfortable,2
bold,1
pro,2
easiest,3
removable,9
overall,2
mp-3,2
earbud,2
little,17
higher,2
next,6
blind,7
iRiver,1
color,1
pulsating,1
FM,5
additional,2
back,2
vertical,2
layered,1
durable,2
random,2
usable,1
Mp3,1
negative,1
shoddy,2
#spare,1
bland,2
hard,8
4-7,1
digital,1
previous,2
multiple,2
over-the-ear,1
generic,1
stylish,2
better,33
mp3,16
mediocre,2
micro,1
cooler,1
#any,1
typical,1
short,4
accessory,2
big,8
smaller,9
select,1
happy,6
mechanical,1
whole,1
fair,2
faulty,1
ipod,18
required,1
reliable,1
compatible,6
-lrb-,11
scant,1
far,2
lock,2
backlit,1
shorter,2
usefully,2
similar,1
invasive,2
satisfied,2
lower,1
scroll,6
sensitive,7
iPOD,1
creative,23
Mac,1
heavy,2
windows-based,1
light,1
comfortable,3
stereo,1
favorite,3
shut-downs,1
annoying,4
other,34
reliability,2
bright,2
local,3
retail,2
weak,3
foreign,1
modern,2
low,9
recharge,3
-rrb-,10
electronic,5
dark,2
#two,1
desensitized,1
firmware,5
regular,2
removeable/rechargeable,1
#this,2
rechargeable,1
USB,8
more,23
cool,6
positive,3
cheap,5
above-mentioned,1
great,37
nice,23
itunes,2
powerful,1
-RSB-,1
first,17
Ipod,1
#the,25
small,12
cheaper,5
quick,2
click-wheel,2
perfect,4
minor,1
friendly,1
sound,23
impressed,4
several,4
#remember,1
ONLY,1
simple,11
main,3
listen,2
20gb,2
second,5
li-ion,1
high,3
near-perfect,1
Creative,10
biggest,5
tad,1
plain,1
defective,2
only,5
few,20
different,6
potential,1
terrible,4
warrenty,1
new,16
#chargeable,1
difficult,6
ugly,1
real,2
dogon,1
reusable,1
most,20
important,3
#some,1
countless,1
easy-to-use,1
rechargable,2
ebay,1
present,2
basic,3
noise-canceling,1
distinct,2
best,15
mixed,1
decent,2
aftermarket,1
5gb,2
-lsb-,1
considerable,1
pressable,2
extra,13
design,1
#for,1
makeshift,1
included,4
beta,3
greatest,1
smooth,1
original,2
cross,1
alternative,1
clear,3
foremost,2
impressive,5
mega-strongest,1
enough,1
win2k,2
clean,4
intuitive,4
industrial,1
conventional,1
various,3
online,1
clumsy,2
